Symbol,Date,Open,High,Low,Close,Adj Close,Volume
hdfc_bank,24-12-2019,1298.599976,1301.099976,1264.650024,1282.150024,1282.150024,19278074
hdfc_bank,31-12-2019,1281.949951,1281.949951,1268.650024,1272.099976,1272.099976,4178528
tata_motors,01-01-2019,173.5,178.199997,165.100006,175.350006,175.350006,68536275
tata_motors,08-01-2019,176.100006,198.300003,176.100006,182.399994,182.399994,99397915
tata_motors,15-01-2019,183.300003,187.350006,180.649994,181.5,181.5,48492458
tata_motors,22-01-2019,181.5,182.699997,169.399994,172.300003,172.300003,53320219
tata_motors,29-01-2019,172.350006,185.899994,170.899994,180.25,180.25,62962446
tata_motors,05-02-2019,180.699997,185,129,152.649994,152.649994,166970466
tata_motors,12-02-2019,152.949997,163.449997,150.600006,162.899994,162.899994,80072803
tata_motors,19-02-2019,164,177.5,161.550003,175.75,175.75,69521602
tata_motors,26-02-2019,173,186.100006,172.5,180.300003,180.300003,90815624
tata_motors,05-03-2019,183.800003,198.350006,180,181.850006,181.850006,161341330
tata_motors,12-03-2019,184.399994,186,177.600006,182.25,182.25,76345957
tata_motors,19-03-2019,182,184.5,170.550003,171.300003,171.300003,41232498
tata_motors,26-03-2019,171.899994,189.75,167.550003,187.350006,187.350006,95241288
tata_motors,02-04-2019,188.050003,209.5,185.300003,200.550003,200.550003,279817831
tata_motors,09-04-2019,200,233.25,198.149994,231.75,231.75,219892417
tata_motors,16-04-2019,233.800003,239.350006,225.649994,234.850006,234.850006,114387052
tata_motors,23-04-2019,235,235.850006,214,215.600006,215.600006,122463770
tata_motors,30-04-2019,216.199997,218.649994,198,199.800003,199.800003,110546647
tata_motors,07-05-2019,201.699997,202.850006,179.600006,180.75,180.75,136086514
tata_motors,14-05-2019,178.25,192,167.399994,190.149994,190.149994,134598573
tata_motors,21-05-2019,185.25,186.899994,173.5,181.350006,181.350006,143849087
tata_motors,28-05-2019,181.350006,185.300003,168.399994,174.5,174.5,99349842
tata_motors,04-06-2019,174.25,177.199997,163.550003,166.199997,166.199997,68979115
tata_motors,11-06-2019,166.850006,172.199997,158,158.75,158.75,73629337
tata_motors,18-06-2019,159,163.75,152.149994,159.300003,159.300003,94997333
tata_motors,25-06-2019,158,169.399994,156.850006,168,168,97546372
tata_motors,02-07-2019,166.800003,167.75,153.5,154.550003,154.550003,79545919
tata_motors,09-07-2019,154,162.850006,149.100006,160.949997,160.949997,119181959
tata_motors,16-07-2019,159.800003,172.350006,153.850006,156.75,156.75,118266648
tata_motors,23-07-2019,157.399994,159,136.850006,137.550003,137.550003,186349424
tata_motors,30-07-2019,138,139.699997,122.300003,123.75,123.75,181210207
tata_motors,06-08-2019,123.050003,126.550003,116.5,122.050003,122.050003,147199802
tata_motors,13-08-2019,123.800003,126.300003,117.349998,120.800003,120.800003,124093703
tata_motors,20-08-2019,120,124.800003,106.199997,110.550003,110.550003,265867755
tata_motors,27-08-2019,112.699997,124,111.800003,116.699997,116.699997,235231760
tata_motors,03-09-2019,113.050003,122.599998,106,121.900002,121.900002,308072088
tata_motors,10-09-2019,121.900002,135.350006,121.900002,128.600006,128.600006,278692342
tata_motors,17-09-2019,129,138.399994,120.5,127.900002,127.900002,291968968
tata_motors,24-09-2019,128.050003,132.199997,116.400002,117.449997,117.449997,213127751
tata_motors,01-10-2019,118,123.800003,112.650002,117.5,117.5,176519550
tata_motors,08-10-2019,117.5,130,115.449997,127.849998,127.849998,184971660
tata_motors,15-10-2019,127.099998,144.350006,123.699997,136.850006,136.850006,221889166
tata_motors,22-10-2019,133.350006,150.699997,125.699997,126.849998,126.849998,228136675
tata_motors,29-10-2019,151.899994,179.649994,151.199997,172.199997,172.199997,437842766
tata_motors,05-11-2019,173.25,178.899994,167.600006,172,172,165113632
tata_motors,12-11-2019,172,176,165.5,170.100006,170.100006,108027643
tata_motors,19-11-2019,170.800003,171.75,159.899994,166.100006,166.100006,108044825
tata_motors,26-11-2019,166.649994,169.300003,158.949997,161.050003,161.050003,111110502
tata_motors,03-12-2019,162.949997,172.199997,157.399994,160.5,160.5,183675857
tata_motors,10-12-2019,162.149994,183.949997,157.399994,174.949997,174.949997,232822198
tata_motors,17-12-2019,176,184.5,170.449997,176.050003,176.050003,231551724
tata_motors,24-12-2019,177.649994,184.350006,174.100006,183.699997,183.699997,92389835
tata_motors,31-12-2019,184,187.899994,181.550003,185.149994,185.149994,52869996
